"ID","Rating","NrOfVotes","Title"
84376,57,22,"MysteryDisc: Murder, Anyone?"
105000,65,228,"Night Trap"
109865,92,569,"Gabriel Knight: Sins of the Fathers"
110267,78,160,"King's Quest VII: The Princeless Bride"
110909,83,38,"Psychic Detective"
111727,89,683,"Wing Commander III: Heart of the Tiger"
113863,48,78,"Mr. Payback: An Interactive Movie"
114282,62,16,"Ride for Your Life"
114950,88,671,"Wing Commander IV: The Price of Freedom"
115141,85,2035,"Command &amp; Conquer: Red Alert"
116113,78,27,"Disruptor"
117012,44,16,"Maximum Surge"
117391,83,260,"Privateer 2: The Darkening"
117483,76,203,"Ripper"
117704,78,42,"Soviet Strike"
117934,85,11,"SSN"
117940,89,272,"Toonstruck"
118222,85,76,"Zork: Nemesis"
119498,89,211,"The Last Express"
120519,82,346,"Wing Commander: Prophecy"
124140,73,158,"Star Trek: Borg"
124141,69,103,"Star Trek: Klingon"
124142,56,242,"Steven Spielberg's Director's Chair"
125051,84,10,"Creature Crunch"
125065,78,428,"Dragon's Lair"
125066,79,142,"Dragon's Lair II: Timewarp"
125516,80,186,"Star Trek: Starfleet Academy"
126817,89,1625,"Blade Runner"
129342,88,412,"Riven: The Sequel to Myst"
131029,82,237,"Star Trek: The Next Generation - A Final Unity"
131332,78,39,"Burn: Cycle"
131459,87,90,"Lands of Lore: The Throne of Chaos"
131537,83,551,"Phantasmagoria"
132641,86,104,"Zork: Grand Inquisitor"
134599,92,2230,"The Curse of Monkey Island"
134648,93,3114,"Fallout: A Post-Nuclear Role-Playing Game"
134981,81,79,"Starship Titanic"
138458,88,463,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned"
138459,91,636,"The Beast Within: A Gabriel Knight Mystery"
139156,85,752,"The Dig"
142210,62,49,"Dark Seed II"
142255,78,70,"DuckTales: The Quest for Gold"
142392,87,171,"I Have No Mouth, and I Must Scream"
142698,84,14,"Noir"
143901,72,488,"Star Trek: Generations"
144157,78,67,"Dark Seed"
144274,82,62,"Lands of Lore: Guardians of Destiny"
145730,85,61,"Crystalis"
145845,75,34,"Prince Interactive"
145868,73,182,"Hikari shinwa: Parutena no kagami"
146893,54,8,"Hokuto no ken: Ankoku no hokuto"
148029,77,43,"Crusader: No Regret"
